"Name","lDAPDisplayName","Created","Modified","attributeID","attributeSyntax"
"Preferred-Delivery-Method","preferredDeliveryMethod","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","2.5.4.28","2.5.5.9"
"Gecos","gecos","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.3.6.1.1.1.1.2","2.5.5.5"
"ms-DS-User-AuthN-Policy-BL","msDS-UserAuthNPolicyBL","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2290","2.5.5.1"
"DNS-Tombstoned","dNSTombstoned","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1414","2.5.5.8"
"ms-DS-Az-Scope-Name","msDS-AzScopeName","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1799","2.5.5.12"
"MS-SQL-PublicationURL","mS-SQL-PublicationURL","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1384","2.5.5.12"
"preferredLanguage","preferredLanguage","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","2.16.840.1.113730.3.1.39","2.5.5.12"
"UnixHomeDirectory","unixHomeDirectory","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.3.6.1.1.1.1.3","2.5.5.5"
"ms-DS-Computer-AuthN-Policy","msDS-ComputerAuthNPolicy","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2291","2.5.5.1"
"documentAuthor","documentAuthor","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","0.9.2342.19200300.100.1.14","2.5.5.1"
"ms-DS-Az-Script-Engine-Cache-Max","msDS-AzScriptEngineCacheMax","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1796","2.5.5.9"
"MS-SQL-GPSLatitude","mS-SQL-GPSLatitude","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1385","2.5.5.12"
"Preferred-OU","preferredOU","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.97","2.5.5.1"
"LoginShell","loginShell","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.3.6.1.1.1.1.4","2.5.5.5"
"ms-DS-Computer-AuthN-Policy-BL","msDS-ComputerAuthNPolicyBL","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2292","2.5.5.1"
"documentIdentifier","documentIdentifier","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","0.9.2342.19200300.100.1.11","2.5.5.12"
"ms-DS-Az-Script-Timeout","msDS-AzScriptTimeout","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1797","2.5.5.9"
"MS-SQL-GPSLongitude","mS-SQL-GPSLongitude","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.1386","2.5.5.12"
"Prefix-Map","prefixMap","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.538","2.5.5.10"
"ShadowLastChange","shadowLastChange","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.3.6.1.1.1.1.5","2.5.5.9"
"ms-DS-Service-AuthN-Policy","msDS-ServiceAuthNPolicy","11/10/2017 2:25:45 PM","6/15/2026 12:10:18 AM","1.2.840.113556.1.4.2293","2.5.5.1"
"documentLocation","documentLocation","11/10/2017 2:25:44 PM","6/15/2026 12:10:18 AM","0.9.2342.19200300.100.1.15","2.5.5.12"
